"Cancel Coupon","Cancel Coupon",theme,frontend/Hyva/default
"Shopping Cart Items","Shopping Cart Items",theme,frontend/Hyva/default
Item,Item,theme,frontend/Hyva/default
Price,Price,theme,frontend/Hyva/default
Qty,Qty,theme,frontend/Hyva/default
Subtotal,Subtotal,theme,frontend/Hyva/default
"Are you sure?","Are you sure?",theme,frontend/Hyva/default
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping cart?",theme,frontend/Hyva/default
"Clear Shopping Cart","Clear Shopping Cart",theme,frontend/Hyva/default
"Update Shopping Cart","Update Shopping Cart",theme,frontend/Hyva/default
"Update Cart","Update Cart",theme,frontend/Hyva/default
"Edit %1","Edit %1",theme,frontend/Hyva/default
"Remove %1","Remove %1",theme,frontend/Hyva/default
"You have no items in your shopping cart.","You have no items in your shopping cart.",theme,frontend/Hyva/default
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping.",theme,frontend/Hyva/default
"Proceed to Checkout","Proceed to Checkout",theme,frontend/Hyva/default
"Estimate Tax","Estimate Tax",theme,frontend/Hyva/default
"Estimate Shipping and Tax","Estimate Shipping and Tax",theme,frontend/Hyva/default
"Enter your billing address to get a tax estimate.","Enter your billing address to get a tax estimate.",theme,frontend/Hyva/default
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate.",theme,frontend/Hyva/default
Country,Country,theme,frontend/Hyva/default
State/Province,State/Province,theme,frontend/Hyva/default
"Please select a region, state or province.","Please select a region, state or province.",theme,frontend/Hyva/default
"Zip/Postal Code","Zip/Postal Code",theme,frontend/Hyva/default
"Shipping Methods","Shipping Methods",theme,frontend/Hyva/default
"Incl. Tax","Incl. Tax",theme,frontend/Hyva/default
"You can track your order status by creating an account.","You can track your order status by creating an account.",theme,frontend/Hyva/default
"Email Address:","Email Address:",theme,frontend/Hyva/default
"Create an Account","Create an Account",theme,frontend/Hyva/default
"Your order number is: %1.","Your order number is: %1.",theme,frontend/Hyva/default
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>.",theme,frontend/Hyva/default
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info.",theme,frontend/Hyva/default
